Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Info / Notes(radioLove invite here)
Bastard,Pigs Fly [Single Cover],,,,,,,/wolfgold/art/pigs-fly-single-cover.png,"Cover for the ""Pigs Fly"" single."
Bastard,Slow It Down [Single Cover],,,,,,,/wolfgold/art/slow-it-down-single-cover.png,"Cover for the ""Slow It Down"" single."
Bastard,Slow It Down [Subgke Cover] (Original Image),,,,,,,/wolfgold/art/slow-it-down-subgke-cover-original-image.png,"Original image used on the cover for the ""Slow It Down"" single. Picture of a contestant at the Special Olympics... found by Jack."
Bastard,VCR [Single Cover #1],,,,,,,/wolfgold/art/vcr-single-cover-1.jpg,"Cover for the ""VCR"" single."
Bastard,VCR [Single Cover #2],,,,,,,/wolfgold/art/vcr-single-cover-2.png,"Another cover for the ""VCR"" single. This is a poster advertising the release of the VCR video."
Bastard,VCR [Single Cover #2] (Original Image),,,,,,,/wolfgold/art/vcr-single-cover-2-original-image.jpg,Version of the VCR single cover without text. (shoutout abe)
Bastard,Jack And The Beanstalk [Single Cover],,,,,,,/wolfgold/art/jack-and-the-beanstalk-single-cover.png,"Cover for the ""Jack And The Beanstalk"" single."
Bastard,Jack And The Beanstalk [Single Cover] (Original Image),,,,,,,/wolfgold/art/jack-and-the-beanstalk-single-cover-original-image.jpg,Stock image of some beans that were used in the Jack And The Beanstalk single cover.
(as Wolf Haley),Radical(Collaboration with Odd Future),,,,,,,,
Radical,Radical [Cover],,,,,,,/wolfgold/art/radical-cover.png,"Cover for ""Radical."""
Radical,Radical [Cover] (Original Image),,,,,,,/wolfgold/art/radical-cover-original-image.jpg,Original cover used for the Radical cover
Radical,Radical [Alternate Cover #1],,,,,,,/wolfgold/art/radical-alternate-cover-1.png,"Alternate cover for ""Radical."""
Radical,Radical [Alternate Cover #2],,,,,,,/wolfgold/art/radical-alternate-cover-2.png,"Another alternate cover for ""Radical."""
Radical,Radical [Alternate Cover #2] (Original Image),,,,,,,/wolfgold/art/radical-alternate-cover-2-original-image.jpg,Original image used for the alternate Radical cover.
Radical,Radical [Back Cover],,,,,,,/wolfgold/art/radical-back-cover.png,"Back cover for ""Radical"" with a corny quote from Left Brain."
Radical,Splatter [Single Cover],,,,,,,/wolfgold/art/splatter-single-cover.png,"Cover for the ""Splatter"" single."
Radical,Double Cheeseburger [Single Cover],,,,,,,/wolfgold/art/double-cheeseburger-single-cover.png,"Cover for the ""Double Cheeseburger"" single with what looks to be a dead anorexic naked woman but who knows."
Radical,Rest Stop Flow [Single Cover],,,,,,,/wolfgold/art/rest-stop-flow-single-cover.png,"Cover for ""Rest Stop Flow"", drawn by Matt Martians."
(as Wolf Haley),Wolf [V1](WOLF 2010),,,,,,,,
Wolf [V1],Wolf [Cover #1],,,,,,,/wolfgold/art/wolf-cover-1.png,"Cover for ""Wolf,"" likely made in 2010. Originally theorized to be Lucas but he had brown hair before 2008 and this is a child photo."
Wolf [V1],Wolf [Cover #1] (Original Image),,,,,,,/wolfgold/art/wolf-cover-1-original-image.jpg,"Unedited version of Cover #1, just a random 3rd grader in 1979."
Wolf [V1],Wolf [Cover #2],,,,,,,/wolfgold/art/wolf-cover-2.png,"Alternate cover for ""Wolf."""
Wolf [V1],Wolf [Cover #2] (Original Image),,,,,,,/wolfgold/art/wolf-cover-2-original-image.jpg,Unedited version of the alternate Wolf cover. Tyler’s Birthday.
Wolf [V1],Wolf [CD Cover],,,,,,,/wolfgold/art/wolf-cd-cover.png,"Cover for a CD release of ""Wolf."""
Wolf [V1],Wolf [CD Cover] (Original Image),,,,,,,/wolfgold/art/wolf-cd-cover-original-image.png,Unedited version of the Wolf CD cover that came from a random cat design by Patty Reed.
Wolf [V1],Fuck This Christmas [Single Cover],,,,,,,/wolfgold/art/fuck-this-christmas-single-cover.jpg,"Cover for Fuck This Christmas, released on Tumblr in December of 2010."
"(as Tyler, The Creator)",Goblin(Bastard 2 [V2]),,,,,,,,
Goblin,Goblin [Cover #1],,,,,,,/wolfgold/art/goblin-cover-1.png,"Cover for ""Goblin."" Might've been made in 2010 since Mike G mentions the person in the cover, Buffalo Bill, in ""Cool."" THIS IS PURE SPECULATION"
Goblin,Goblin [Cover #2],,,,,,,/wolfgold/art/goblin-cover-2.png,Version of the Goblin cover that's more green.
Goblin,Goblin [Cover] (Original Image #1),,,,,,,/wolfgold/art/goblin-cover-original-image-1.png,Image of a young Buffalo Bill that was used for the Goblin cover.
Goblin,Goblin [Cover] (Original Image #2),,,,,,,/wolfgold/art/goblin-cover-original-image-2.png,Version of the Goblin cover without any text.
Goblin,Goblin (Deluxe) [Cover #1],,,,,,,/wolfgold/art/goblin-deluxe-cover-1.png,"Cover for the deluxe version of ""Goblin."""
Goblin,Goblin (Deluxe) [Cover #2],,,,,,,/wolfgold/art/goblin-deluxe-cover-2.png,"Version of the above cover that's more edited, it's basically just a mix of the one above with the one below."
Goblin,Goblin (Deluxe) [CD Cover],,,,,,,/wolfgold/art/goblin-deluxe-cd-cover.png,"Cover for a CD release of the deluxe version of ""Goblin."""
Goblin,Goblin [Back Cover],,,,,,,/wolfgold/art/goblin-back-cover.jpg,"Back cover for ""Goblin."""
Goblin,Yonkers [Single Cover],,,,,,,/wolfgold/art/yonkers-single-cover.jpg,"Cover for the ""Yonkers"" single."
Goblin,Yonkers [Original Cover],,,,,,,/wolfgold/art/yonkers-original-cover.jpg,Uncropped photo for Yonkers single
Goblin,She [Single Cover],,,,,,,/wolfgold/art/she-single-cover.png,"Cover for the ""She"" single."
Goblin,Sandwitches [Single Cover],,,,,,,/wolfgold/art/sandwitches-single-cover.png,"Original cover for the ""Sandwitches"" single."
Goblin,Sandwitches [Censored Single Cover],,,,,,,/wolfgold/art/sandwitches-censored-single-cover.png,"Censored cover for the ""Sandwitches"" single."
Goblin,Bitch Suck Dick [Single Cover],,,,,,,/wolfgold/art/bitch-suck-dick-single-cover.png,"Cover for the ""Bitch Suck Dick"" single."
Goblin,I Follow Rivers - Lykke Li (Remix) [Single Cover],,,,,,,/wolfgold/art/i-follow-rivers-lykke-li-remix-single-cover.png,Cover for the remix of “I Follow Rivers” by Lykke Li.
Goblin,I Follow Rivers - Lykke Li (Remix) [Single Cover] (Original Image),,,,,,,/wolfgold/art/i-follow-rivers-lykke-li-remix-single-cover-original-image.png,Version of the cover without any text and more saturation.
Goblin,Trouble On My Mind [Single Cover],,,,,,,/wolfgold/art/trouble-on-my-mind-single-cover.jpg,Cover for 'Trouble On My Mind' by Pusha T featuring Tyler.
"(as Tyler, The Creator)",12 Odd Future Songs(Collaboration with Odd Future),,,,,,,,
12 Odd Future Songs,12 Odd Future Songs [Cover],,,,,,,/wolfgold/art/12-odd-future-songs-cover.jpg,"Cover for ""12 Odd Future Songs."""
"(as Tyler, The Creator)",The Odd Future Tape Vol. 2(Collaboration with Odd Future),,,,,,,,
The OF Tape Vol. 2,The OF Tape Vol. 2 [Cover],,,,,,,/wolfgold/art/the-of-tape-vol-2-cover.jpg,"Cover for ""The OF Tape Vol. 2"" that's seen on CD releases and streaming."
The OF Tape Vol. 2,The OF Tape Vol. 2 [Alternate Cover #1],,,,,,,/wolfgold/art/the-of-tape-vol-2-alternate-cover-1.jpg,"Cover for ""The OF Tape Vol. 2"" that's seen on Vinyl releases."
The OF Tape Vol. 2,The OF Tape Vol. 2 [Alternate Cover #1] (Original Image),,,,,,,/wolfgold/art/the-of-tape-vol-2-alternate-cover-1-original-image.jpg,"Photo of Lucas Vercetti that was used for the alternate cover of ""The OF Tape Vol. 2"""
The OF Tape Vol. 2,The OF Tape Vol. 2 [Alternate Cover #2],,,,,,,/wolfgold/art/the-of-tape-vol-2-alternate-cover-2.jpg,"Cover for ""The OF Tape Vol. 2"" that's seen on some releases, contains features from all of Odd Future's members. "
The OF Tape Vol. 2,The OF Tape Vol. 2 [Alternate Cover #3],,,,,,,/wolfgold/art/the-of-tape-vol-2-alternate-cover-3.jpg,"Cover for ""The OF Tape Vol. 2"" that's seen on one CD release."
The OF Tape Vol. 2,NY (Ned Flanders) [Single Cover],,,,,,,/wolfgold/art/ny-ned-flanders-single-cover.jpg,"Cover for the ""NY (Ned Flanders)"" single."
The OF Tape Vol. 2,Rella [Single Cover],,,,,,,/wolfgold/art/rella-single-cover.jpg,"Cover for the ""Rella"" single."
(as Ace Creator),Nilbog,,,,,,,,
Nilbog,Nilbog [Cover],,,,,,,/wolfgold/art/nilbog-cover.jpg,"Cover for ""Nilbog."""
Nilbog,Nilbog [Cover] (Original Image),,,,,,,/wolfgold/art/nilbog-cover-original-image.jpg,"Unedited version of the ""Nilbog"" cover. Uploaded to Flickr by Julian Berman."
"(as Tyler, The Creator)","WOLF(WOLF 2012, Wolf [V2])",,,,,,,,
WOLF,WOLF [Cover],,,,,,,/wolfgold/art/wolf-cover.jpg,"Cover for ""WOLF"" that was replaced by Mark Ryden's art and later readded."
WOLF,WOLF [Photoshoot #1],,,,,,,/wolfgold/art/wolf-photoshoot-1.png,One of the outtakes from the WOLF album cover photoshoot.
WOLF,WOLF [Photoshoot #2] ,,,,,,,/wolfgold/art/wolf-photoshoot-2.png,One of the outtakes from the WOLF album cover photoshoot.
WOLF,WOLF [Photoshoot #3],,,,,,,/wolfgold/art/wolf-photoshoot-3.jpg,One of the outtakes from the WOLF album cover photoshoot.
WOLF,WOLF [Alternate Cover #1](Wolf + Instrumentals),,,,,,,,"Alternate cover for ""WOLF,"" designed by Mark Ryden. Used on the instrumentals version and vinyl releases."
WOLF,WOLF [Alternate Cover #2](Wolf 2012),,,,,,,,"Another alternate cover for ""WOLF"" that's seen on some CD releases. Supposedly the original 2012 cover."
