Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
KIDS SEE GHOSTS,KIDS SEE GHOSTS Art & Booklet,Scans of the art included with the CD.,,,,Booklet,Used,https://mega.nz/folder/aV5QzRDC#3Yc9N-ryU2rUfCRXwkMVSQ
Entergalactic [V1],ScHoolboy Q - Dangerous(feat. Kid Cudi),,,,,Front Cover,Used,
Entergalactic [V1],,,,,,Back Cover,Used,
Entergalactic [V1],,Standard Edition Cover.,,,,Front Cover,Used,
Entergalactic [V1],,Deluxe Edition Cover.,,,,Front Cover,Used,
Entergalactic [V1],Jaden Smith - On My Own(feat. Kid Cudi),Vinyl Back Cover.,,,,Back Cover,Used,
Entergalactic [V1],Travis Scott - STOP TRYING TO BE GOD(feat. Kid Cudi),Cover Art 1.,,,,Front Cover,Used,
Entergalactic [V1],,Cover Art 2.,,,,Front Cover,Used,
Entergalactic [V1],,,,,,Back Cover,Used,
Entergalactic [V1],Quavo - LOST(feat. Kid Cudi),,,,,Front Cover,Used,
Entergalactic [V1],,,,,,Back Cover,Used,
Man On The Moon III,Selena Gomez - A Sweeter Place(feat. Kid Cudi),,,,,Front Cover,Used,https://mega.nz/file/yYJRDAKC#MoXKdJ94c3NSjU_vMFSfP32NbWZlnbLUOV3NDGEz4Ok
Man On The Moon III,Leader Of The Delinquents,Digital Single Cover.,,,,Front Cover,Used,https://mega.nz/file/KQJzjIha#yC4GnTs5_hIqsUAEqNmC3tlPUhgE6VMyw-ddql-BPQw
Man On The Moon III,Leader Of The Delinquents,"Cover art for for the 7"" Single.",,,,Front Cover,Used,/cudigold/art/leader-of-the-delinquents.jpg
Man On The Moon III,Leader Of The Delinquents,"Back cover for for the 7"" Single.",,,,Back Cover,Used,/cudigold/art/leader-of-the-delinquents.jpg
Man On The Moon III,THE SCOTTS - THE SCOTTS(With Travis Scott),,,,,Single,Used,https://mega.nz/file/CRhVhKBT#faw_HZ2nydnTGgOhyBVNRMgyXLii4zAXMT0HeAqi_3o
Man On The Moon III,,,,,,Front Cover,Used,
Man On The Moon III,,,,,,Front Cover,Used,
Man On The Moon III,,,,,,Front Cover,Used,
Man On The Moon III,The Adventures of Moon Man and Slim Shady(feat. Eminem),,,,,Front Cover,Used,https://mega.nz/file/3dxCnBhZ#LRVpSz88b3JidL0DiARWKUDQZR8IWuvkcHr1yWNyO88
Man On The Moon III,Ty Dolla $ign - Temptations(feat. Kid Cudi),,,,,Front Cover,Used,https://mega.nz/file/6NRkzZhY#1vwKo99mbjeBwyqlihT_Z9IrDQocxt97FN0xR7YSvOs
Man On The Moon III,,,,,,Back Cover,Used,
Man On The Moon III,Man On The Moon III: The Chosen,,,,,Front Cover,Used,https://mega.nz/file/2MonVQrL#ozv8lGiIIBmd5fj3aheXJPtypgcwpzXQqzokGiM5p9g
Man On The Moon III,Man On The Moon III: The Chosen [Back Cover],,,,,Back Cover,Used,https://mega.nz/file/CUxAUa7a#z7voavdu6RqQI81OUVFB4Sq5nKarqUmjFsQTqe5NJms
Man On The Moon III,Man On The Moon III: The Chosen [CD Art],,,,,Other,Used,https://mega.nz/file/XZJWnIII#CQPXqBoCJc2WSVPgjOg9AVukQBin_eRFFxk3mmE2cB4
Unknown Album,,,,,,Single,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,,,,,,Single,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,,,,,,Back Cover,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,,,,,,Front Cover,Used,
Unknown Album,Kanye West - Donda [Front Cover,Front Cover for the album Donda.,,,,Front Cover,Used,/cudigold/art/kanye-west-donda-front-cover.jpg
Unknown Album,,Promotional Single CD front cover.,,,,Promo Art,Used,
Unknown Album,,Promotional Single CD back cover.,,,,Back Cover,Used,
Unknown Album,,,,,,Single,Used,
Unknown Album,,,,,,Front Cover,Used,
The Boy Who Flew To The Moon (Vol .1),The Boy Who Flew To The Moon (Vol. 1) [Front Cover],,,,,Front Cover,Used,https://mega.nz/file/PAw3kJjA#dG0UkmMB0sN_AePYQEGwY28iUJsTGsC73oxZEtgQDfE
The Boy Who Flew To The Moon (Vol .1),The Boy Who Flew To The Moon (Vol. 1) [Back Cover],,,,,Back Cover,Used,/cudigold/art/the-boy-who-flew-to-the-moon-vol-1-back-cover.jpg
A Kid Named Cudi (2022),A Kid Named Cudi (2022),Front cover for the 2022 remastered version of A Kid Named Cudi. Said to actually have been from around the time Kid Cudi got signed.,,,,Front Cover,Used,https://mega.nz/file/3EBxxbZQ#aw3t0_VwvQ7rEKMQCtihcQVCA3vphaIS0FJ1Gvpnpes
