Era,Name,Notes,Length,Date,Release Date,Streaming,Link(s)
Streets Is Watching,"DJ Clue - Thugs R Us
(feat. N.O.R.E.)",,,,,Yes,
Streets Is Watching,M.O.P. - My Nigga Hill Figga,,,,,Yes,
Streets Is Watching,"JAY-Z - Celebration
(feat. Memphis Bleek, Sauce Money & Waiz Of The Ranjahz)",,,,,Yes,
"2 Full
0 Tagged
0 Partial
0 Snippet
0 Production
0 Unavailable","Vol 2, Hard Knock Life","(December 1997) (Vol 2, Hard Knock life begins recording)
(September 29th, 1998) (Vol 2, Hard Knock Life releases)",,,"JAY-Z's third studio album, Vol. 2... Hard Knock Life, was released in September 1998. The album spawned his biggest hit, ""Hard Knock Life (Ghetto Anthem)"", which sold over 5 million copies by 2000. The album's production features a mix of new and old collaborators, including DJ Premier, Swizz Beatz, Timbaland, and Irv Gotti. The album's sound is a return to Jay's earlier style, with a focus on lyrics and storytelling. The album's lead single, ""Can I Get A..."", was a major hit and helped the album debut at number one on the US Billboard 200 chart.",,
"Vol 2, Hard Knock Life","Intro - Hand It Down
(feat. Memphis Bleek)",,,,,Yes,
"Vol 2, Hard Knock Life",Hard Knock Life (Ghetto Anthem),,,,,Yes,
"Vol 2, Hard Knock Life","If I Should Die
(feat. Da Ranjahz)",,,,,Yes,
"Vol 2, Hard Knock Life",Ride Or Die,,,,,Yes,
"Vol 2, Hard Knock Life","Nigga What, Nigga Who (Originator 99)
(feat. Big Jaz)",,,,,Yes,
"Vol 2, Hard Knock Life","Money, Cash, Hoes
(feat. DMX)",,,,,Yes,
"Vol 2, Hard Knock Life","A Week Ago
(feat. Too $hort)",,,,,Yes,
"Vol 2, Hard Knock Life","Coming Of Age (Da Sequel)
(feat. Memphis Bleek)",,,,,Yes,
"Vol 2, Hard Knock Life","Can I Get A...
(feat. Amil & Ja Rule)",,,,,Yes,
"Vol 2, Hard Knock Life","Paper Chase
(feat. Foxy Brown)",,,,,Yes,
"Vol 2, Hard Knock Life","Reservoir Dogs
(feat. The LOX, Sauce Money & Beanie Sigel)",,,,,Yes,
"Vol 2, Hard Knock Life","It's Like That
(feat. Kid Capri)",,,,,Yes,
"Vol 2, Hard Knock Life","Memphis Bleek - It's Alright
(feat. JAY-Z)",,,,,Yes,
"Vol 2, Hard Knock Life","Money Ain't A Thang
(feat. Jermaine Dupri)",,,,,Yes,
"Vol 2, Hard Knock Life",This Life Forever,,,,,Yes,
"Vol 2, Hard Knock Life",Kid Capri - Like That,,,,,Yes,
"Vol 2, Hard Knock Life",JUVENILE - Ha (Remix Version),,,,,Yes,
"Vol 2, Hard Knock Life",R. Kelly - We Ride,,,,,Yes,
"Vol 2, Hard Knock Life",Timbaland - Lobsters & Shrimp,,,,,Yes,
"Vol 2, Hard Knock Life",DJ Clue - Gangsta Shit,,,,,Yes,
"Vol 2, Hard Knock Life",DMX - Blackout,,,,,Yes,
"Vol 2, Hard Knock Life",Slikk The Shocker - You Know What We Bout,,,,,Yes,
"Vol 2, Hard Knock Life",Foxy Brown - Bonnie & Clyde (Part 2),,,,,Yes,
"Vol 2, Hard Knock Life",Ja Rule - Kill 'Em All,,,,,Yes,
"Vol 2, Hard Knock Life",Ja Rule - It's Murda,,,,,Yes,
"Vol 2, Hard Knock Life",Lil' Cease - 4 My Niggaz,,,,,Yes,
"Vol 2, Hard Knock Life",Memphis Bleek - What You Think Of That,,,,,Yes,
"Vol 2, Hard Knock Life",P. Diddler - Do You Like It... Doo You Want It...,,,,,Yes,
"Vol 2, Hard Knock Life",Mariah Carey - Heartbreaker,,,,,Yes,
"Vol 2, Hard Knock Life",Funk Flex - For My Thugs,,,,,Yes,
