 Era,Name,Notes,Source,Type,Currently Available,Link(s),,
Music To Be Murdered By,"Unaccomodating (Acapella)
(feat. Young M.A.)","OG Filename: 1.13.20 Unacc Ac_01
Contains extra echo of ""Unaccommodating"" after the ending of the song. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/e976b605a9ea6ebd3fa191357a9674f3,,
Music To Be Murdered By,"You Gon' Learn [V3] (Acapella)
(feat. Royce Da 5'9"" & White Gold)","OG Filename: You Gon Learn Aca
Contains the infamous Tee Grizzley line. Modified on January 20, 2020. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/2ba494fb2a0f597501e527a426941d03,,
Music To Be Murdered By,"Those Kinda Nights (Acapella)
(feat. Ed Sheeran)","OG Filename: One of Those Nights Aca
The echo after the last ""those kinda nights"" line isn't present. Modified on January 20, 2020. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/dd77b07e113f2c026310bf339e31332e,,
Music To Be Murdered By,In Too Deep (Acapella),"OG Filename: In to Deep Aca
Modified on January 20, 2020. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/896a0cb457cdb46552859218643847cd,,
Music To Be Murdered By,Darkness (Acapella),"OG Filename: 11.27.19 Darkness Aca_03
Lacks the vocal sample. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/940cbde1ef283bdd03cfb2940a0d297b,,
Music To Be Murdered By,"Leaving Heaven (Acapella)
(feat. Skylar Grey)","OG Filename: Leaving Heaven Aca
Modified on January 20, 2020. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/37a934169a9c1073ed62cb4877f573b0,,
Music To Be Murdered By,"Yah Yah [V68] (Acapella)
(feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)","OG Filename: 11.27.19 Yayaya Aca (No busta or BGV)_01-68
 No Busta Rhymes sample or background vocals, also lacks part of Royce's intro. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/10aa6e3c05fc55c4ba9a24c85267349d,,
Music To Be Murdered By,Stepdad (Acapella),"OG Filename: 12.4.19 Step Dad Aca_01
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/8db65303a4f5ec3ee5bb945cb84e05aa,,
Music To Be Murdered By,Marsh (Acapella),"OG Filename: 12.12.19 Marsh Aca_01
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/4c9cb7e01c9503b15bc356ecb15c1222,,
Music To Be Murdered By,Never Love Again (Acapella)," OG Filename: Never (ACAPELLA) 1.6
Contains 10 seconds of silence at the start, panned 10-15% left for unknown reasons. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/b3e92b34d694ea371efa6a199a4eb2ed,,
Music To Be Murdered By,"Lock It Up (Acapella)
(feat. Anderson .Paak)","OG Filename: 12.4.19 Lock it up Aca_01
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/1bf6079c2f7c211c79e46bb32b25033d,,
Music To Be Murdered By,Farewell (Acapella),"OG Filename: 11.27.19 Farewell Aca_02
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/83cf4f17b55a086c0abde3b21be196aa,,
Music To Be Murdered By,"I Will (Acapella)
(feat. Royce Da 5'9"", KXNG Crooked & Joell Ortiz)","OG Filename: 1.6.20 I Will Aca_03 
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/7916321982c01d038d92c12c7f91198f,,
Music To Be Murdered By,"Conway The Machine - Bang (Acapella)
(feat. Eminem)","OG Filename: Em.03_01
Leaked in an acapella package on April 16th, 2025. Only contains Em's verse.",Leak,Acapella,Partial Lossless,https://pillows.su/f/7a8c6041309b8d5b42fecc6b6e2ab444,,
Music To Be Murdered By,"Griselda - Bang (Remix) (Acapella)
(feat. Eminem)","OG Filename: Bang Remix Aca
At the very start of the acapella if you turn the volume up you can hear Conway saying to someone in the studio ""Me too nigga"" before he starts his verse. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/3b60adbe331ec9214b52e79101b5c4e7,,
Music To Be Murdered By,"WESTSIDE BOOGIE - Rainy Days (Acapella)
(feat. Eminem)","OG Filename: 9.28.18 Rainy Days#2 Aca_01
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/45477a6918fbfb81633ba6987480b11c,,
,Sessions,,,,,,,
Music To Be Murdered By,"Unaccommodating [V2] (Session)
(feat. Young MA) (prod. Tim Suby)","OG Filename: Young M.A. Eminem Feature 10.19.19
Session for Young MA's feature on Unaccommodating. Has no Eminem vocals. Leaked March 14th, 2026.",Leak,Sessions,Full Lossless,https://drive.google.com/drive/folders/1TDN44v9H18JoUU7n3Q-xOnxnx4ydO1iq?usp=sharing,,
"13 Total
10 Instrumental
2 Acapella
1 Sessions",Music To Be Murdered By: Side B,"(1/17/2020) (MTBMB releases)
(12/18/2020) (Side B releases)",,,"Less than a year after the release of the standard edition, Eminem would drop a deluxe version to MTBMB. This was originally intended to be a surprise release, but the cover art would end up leaking days before the release. The surprise release of the album contains a reference to Side B in the standard edition, specifically in ""You Gon' Learn"" A possible foreshadow, ""Thought my name was B-side 'cause they flipped over my tape"".",,,
,Instrumentals,,,,,,,
Side B,"Book Of Rhymes (Instrumental)
(prod. Eminem, IllaDaProducer & Luis Resto)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/e1d01e97ddce383569a3d183d94746a5,,
Side B,"Guns Blazing [V4] (Instrumental)
(prod. J.LBS & Eminem)",Leaked by Joe Strange. Lacks the Favorite Bitch transition.,Leak,Instrumental,Full CDQ,https://pillows.su/f/4feccf9c3c3b619c51c66069f4305c35,,
Side B,"Gnat (Instrumental)
(prod. D.A. Got That Dope)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/363a9e36497b917370c1f9ce64468b89,,
Side B,"Higher (Instrumental)
(prod. Eminem)",Instrumental for Higher.,Leak,Instrumental,Full CDQ,https://pillows.su/f/64223d7354831adc2c69203c8e061c01,,
Side B,"These Demons (Instrumental)
(prod. D.A. Got That Dope, Eminem, Mike Zombie & The Loud Pack)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/036b02f222c02fcddb7318d1c41dc4d7,,
Side B,"Killer (Instrumental)
(prod. D.A. Got That Dope)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/6be3475c68002972112fc060512d1a71,,
Side B,"Zeus (Instrumental)
(prod. T-Minus, Eminem & Luca Mauti)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/882cc83e947a98c2ed562633832342f2,,
Side B,"Discombobulated [V4] (Instrumental)
(prod. Dr. Dre, DJ Silk, Mista Choc, Black Bethoven, S1, Lonestarrmuzik & Frano)","Leaked by Joe Strange. Has less production (more similar to Back And Forth), no pitch change, no intro scratch, and different mixing.",Leak,Instrumental,Full CDQ,https://pillows.su/f/0a165d90875ca7cf9dc0ff8ff24e887c,,
Side B,"Stan's Revenge (Instrumental)
(prod. Eminem)",Ripped from the official NFT Auction. Sounds pretty rushed.,Other,Instrumental,Full HQ,https://pillows.su/f/146bf56161bf1366736b078c74127598,,
Side B,"Dr. Dre - Gospel [V4] (Instrumental)
(prod. Listen2KÖACH & Dr. Dre)",Leaked by Joe Strange. Has production differences and a different ending.,Leak,Instrumental,Full HQ,https://pillows.su/f/a9d7d444c9ded6cf23b18219c2cb60ce,,
,Acapellas,,,,,,,
Side B,Music To Be Murdered By: Side B (Acapellas),All Side B acapellas were obtained in the SFTL3 buy but they never leaked. Almost all of these contain differences and have way more adlibs than release. Lossless in circulation.,Info,Acapella,Not Available,,,
Side B,"Dr. Dre - Gospel (Acapella)
(feat. Eminem)","OG Filename: Gospel EM ACA
Only the acapella to Em's parts is available. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Partial Lossless,https://pillows.su/f/0b005a0e2ca739c559a2085483997a7c,,
,Sessions,,,,,,,
Side B,"Kid Cudi - Trkin [V1]
(The Adventures Of Moon Man And Slim Shady)",The same person who was selling the original version of TAOMMASS also claims to have the Ableton session for it.,Info,Sessions,Rumored,,,
"3 Total
3 Instrumental","The Death of Slim Shady (Coup de Grâce)
(Marshall Mathers Vs. Slim Shady)","(08/05/2022) (Curtain Call 2 releases)
(07/12/2024) (The Death of Slim Shady (Coup de Grâce) Releases)",,,,"Following a hiatus after the release of Music To Be Murdered By: Side B, Eminem began teasing a new album in early 2024. A teaser for the album released on April 26th, 2024 that featured a fake news report about the murder of Slim Shady. Following the single release of 'Houdini' and another album trailer with a callback to Popsomp Hills from the Relapse era, The Death Of Slim Shady (Coupe de Grace) released on July 12th, 2024.",,
,Instrumentals,,,,,,,
The Death of Slim Shady (Coup de Grâce),"Fuel (Instrumental) [V1]
(prod. Mr. Farter & Eminem)",Played by Mr. Porter on a livestream.,Other,Instrumental,Recording,https://pillows.su/f/e0af2d6f25f7709fb51372ad04f8e600,,
The Death of Slim Shady (Coup de Grâce),"Houdini (Instrumental)
(prod. Eminem & Luis Resto)",Leaked instrumental for Houdini.,Leak,Instrumental,Full CDQ,https://pillows.su/f/3f25b772c9d0a0def6896a501efe63f9,,
The Death of Slim Shady (Coup de Grâce),"Lyrical Lemonade - Tobey (Instrumental) [V1]
(prod. John Nocito)","OG Filename: toreador_115_(johnnocito)
John Nocito mentioned in the How I Produced Tobey video that Tobey originally had a FNAF sample that didn't make the cut. Leaked on July 21, 2026. Samples the Five Nights at Freddy's Music Box song.",Leak,Instrumental,Full HQ,https://pillows.su/f/832d3f06745a33690dded0acb7a5dc3c,,
"2 Total
2 Instrumental",LP13 (Ongoing),"(7/12/2024) (The Death of Slim Shady (Coup de Grâce) Releases)
(Ongoing)",,,,,,
LP13,"LL Cool J - Murdergram Deux (Instrumental)
(prod. Q-Tip & Eminem)","Leaked Instrumental for Murdergram Deux. Was posted in Hipstrumentals.com on September 3, 2024",Leak,Instrumental,Full HQ,https://pillows.su/f/e4101a1d45350cf5a86b8c709277f303,,
LP13,"Snoop Dogg & Dr. Dre - Gunz & Smoke (Instrumental)
(prod. C.S Armstrong & Dr. Dre)","Official instrumental for ""Gunz N Smoke"". Missing the Dead Wrong sample and skit.",Instrumental Album,Instrumental,Full Lossless,https://pillows.su/f/42e15fe5995d954451a7a975e62f32e3,No Evidence,https://www.ddinstagram.com/reel/DDdXMlYPPPp/?igsh=eGl2enFib29qMng5
