Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
Everyday Life,Rehearsing Orphans for Everyday Life – Live in Jordan,A video consisting of clips from Coldplay's rehearsals of Orphans and Arabesque ahead of their live performances of them for Everyday Life: Live in Jordan. Also includes information on the development of Arabesque.,4:25,"Nov 12, 2019",Other,Full,High Quality,YouTube
Everyday Life,Everyday Life Q&A from Jordan,A recording of a live Q&A session done prior to Everyday Life: Live in Jordan.,15:20,"Nov 21, 2019",Other,Full,High Quality,YouTube
,Notable Live Performances,,,,,,,
Everyday Life,Live in Jordan - Sunrise / Sunset,Both halves of Everyday Life were performed in two shows at the Amman Citadel in Jordan; the 'sunrise' half was performed at sunrise and the 'sunset' half at sunset. Both shows had no audiences but were filmed as YouTube Originals.,,"Nov 22, 2019",Live Performance,Full,High Quality,(See below)
Everyday Life,Live at Maida Vale Studios,"As promotion for Everyday Life, Coldplay performed some of its songs (along with two others) for BBC Radio 1 at Maida Vale Studios. Notable performances include Gypsy Woman (by Crystal Waters), Lovers in Japan (done in the style of the unreleased Young and in Love), Everyday Life (done with the single version's intro), and Arabesque (featuring Femi Kuti).",,"Nov 27, 2019",Live Performance,Partial,High Quality,"Orphans (Live at Maida Vale)
Gypsy Woman (Live at Maida Vale)
Lovers In Japan (Live at Maida Vale)
Guns (Live at Maida Vale)
Everyday Life (Live at Maida Vale)
Daddy (Live at Maida Vale)
Arabesque (Live at Maida Vale)"
,Other,,,,,,,
Everyday Life,Everyday Life: Live in Jordan,A film featuring Coldplay's performances of both halves of Everyday Life at the Amman Citadel. Released as a YouTube Original.,58:16,"Aug 7, 2020",Film,Full,High Quality,YouTube
Everyday Life,Coldplay: Reimagined,"A film accompanying the EP of the same name, featuring stripped-back renditions of Everyday Life songs played by Chris, Jonny, and a choir.",,"Feb 21, 2020",Film,Full,High Quality,Apple Music (US)
Everyday Life,Tuscany Sessions,"Recording sessions for Everyday Life from late 2017. Recorded at Villa Tombolino in Tuscany, Italy. Includes rough jams of several released and unreleased songs.",~7:00:00,,Other,Partial,Medium Quality,"Brother Lorenzo
Cinnamon (With Drums)
DITD (Snippet)
Dreamin' On
Every Day Life [V2]
Strawberry Jam (Snippet 1)
Strawberry Jam (Snippet 2)
Tiramisu (Snippet)"
Everyday Life,Malibu Sessions,"Recording sessions for Everyday Life from early 2018, building on the Tuscany Sessions. Recorded at the Woodshed in Malibu, California, USA.",,,Other,Snippet,High Quality,Weirdo (Snippet)
Everyday Life,Streets of Tehran,Full recording of the street ambience used during the intro of Arabesque.,,,Other,Not Publicly Available ,Not Available,N/A
,"Music of the Spheres
Vol. 1: From Earth With Love",,,,,,,
,Music Videos,,,,,,,
Music Of The Spheres,Higher Power (Extraterrestrial Transmission),,3:48,"May 6, 2021",Music Video,Full,High Quality,YouTube
Music Of The Spheres,Higher Power,Includes Music of the Spheres i as an intro.,4:17,"Jun 8, 2021",Music Video,Full,High Quality,YouTube
Music Of The Spheres,Higher Power (Dance Video),,4:04,"Jun 25, 2021",Music Video,Full,High Quality,YouTube
Music Of The Spheres,My Universe,This entire music video is a green screen. There is like one shot that isn't and the set got demolished.,4:43,"Sep 30, 2021",Music Video,Full,High Quality,YouTube
Music Of The Spheres,Let Somebody Go,,4:05,"Feb 7, 2022",Music Video,Full,High Quality,YouTube
Music Of The Spheres,People of the Pride,Edited footaged of the Seattle Climate Pledge Arena gig from 2021 compiled into a music video with unique visuals that are also used on the tour. The audio used for this version is also not the studio version. It is seemingly a live-ish instrumental with interpolated studio and live vocal takes and generic audience/crowd cheering.,3:37,"Mar 15, 2022",Music Video,Full,High Quality,YouTube
Music Of The Spheres,Biutyful,,5:00,"Jul 6, 2022",Music Video,Full,High Quality,YouTube
Music Of The Spheres,Humankind,"insert coldcard drama shit here. Despite the whole fiasco regarding the Cold Cards, this music video teased new tour dates for the Asian & South American(?) leg. Archive members Vulpine and Sebastian are in this video.",4:40,"Aug 17, 2022",Music Video,Full,High Quality,YouTube
Music Of The Spheres,Coloratura,"A music video for Coloratura was filmed at The Roundhouse in London. When asked about the video, Phil Harvey said little about the music video's apparent cancellation, but acknowledged fan interest and stated that it would be revisited in the future.",N/A,N/A,Music Video,Partial,High Quality,Instagram
,Videos,,,,,,,
Music Of The Spheres,,,,,,,,
,Notable Live Performances,,,,,,,
Music Of The Spheres,Stade de France 2022,,,,Live Performance,,,
Music Of The Spheres,"Live at Buenos Aires, Argentina ",This MOTS tour show at River Plate was broadcast live to cinemas worldwide. Footage from this performance was later cleaned up and compiled into a concert film.,,"Sep 8, 2022",Live Performance,Full,High Quality,(See below)
Music Of The Spheres,"Live at Climate Pledge Arena, Seattle",This promotional show featured the live debut of many Music of the Spheres songs. Recordings of its performances were made into both a concert film and an EP.,,"Oct 22, 2021",Live Performance,Full,High Quality,(See below)
,Other,,,,,,,
Music Of The Spheres,Coldplay Live from Climate Pledge Arena,"This concert film captures the first show promoting Music of the Spheres, performed only a week after the album's release. Due to rights issues, it is no longer available for streaming on its original platform (Amazon Music).",,,Film,Full,High Quality,LINK NEEDED
Music Of The Spheres,Live Broadcast from Buenos Aires,,,"Sep 8, 2022",Other,Full,High Quality,LINK NEEDED
Music Of The Spheres,Music of the Spheres: Live at River Plate,,,"Apr 19, 2023",Film,Full,High Quality,LINK NEEDED
Music Of The Spheres,Robot Sessions,Recording sessions for the song Robot (aka Robots) from November 2021.,,Nov 2021,Other,Partial,High Quality,Robot [V2]
,"Music of the Spheres, Vol. 2:
Moon Music",,,,,,,
,Music Videos,,,,,,,
Moon Music,feelslikeimfallinginlove,,4:21,"Jul 1, 2024",Music Video,Full,High Quality,YouTube
Moon Music,feelslikeimfallinginlove (Director's Cut),An alternate FLIFIL music video focusing more on footage of Coldplay's performance of FLIFIL at the coliseum. Only released on director Ben Mor's website.,4:19,,Music Video,Full,High Quality,Ben Mor's website (via Vimeo)
Moon Music,feelslikeimfallinginlove (Zerb Remix),,4:00,"Aug 2, 2024",Music Video,Full,High Quality,YouTube
Moon Music,WE PRAY (Little Simz Version),,3:53,"Sep 14, 2024",Music Video,Full,High Quality,YouTube
Moon Music,WE PRAY (TINI Version),,3:40,"Sep 18, 2024",Music Video,Full,High Quality,YouTube
Moon Music,WE PRAY (Elyanna Version),,3:55,"Sep 21, 2024",Music Video,Full,High Quality,YouTube
Moon Music,ALL MY LOVE (Lyric Video),,4:03,"Oct 4, 2024",Music Video,Full,High Quality,YouTube
Moon Music,ALL MY LOVE,,4:00,"Dec 13, 2024",Music Video,Full,High Quality,YouTube
Moon Music,ALL MY LOVE (Director's Cut),"An extended cut of the AML music video featuring more of Chris Martin's interactions with Dick Van Dyke, including Chris's improvisation of ""Old Age"".",7:18,"Dec 6, 2024",Music Video,Full,High Quality,YouTube
Moon Music,ALL MY LOVE (PNAU Remix),,3:12,"Dec 27, 2024",Music Video,Full,High Quality,YouTube
Moon Music,The Karate Kid,"Features Ralph Macchio, the actor who played Daniel in the movie The Karate Kid.",3:23,"Nov 19, 2024",Music Video,Full,High Quality,YouTube
Moon Music,Man In The Moon,"Was filmed in Singapore in January 2024, likely in anticipation of MITM originally being Moon Music's lead single (as early tracklists suggest). Was instead released as promotion for MM's Full Moon Edition.",3:58,"Feb 6, 2025",Music Video,Full,High Quality,YouTube
Moon Music,GOOD FEELiNGS,,N/A,N/A,Music Video,Confirmed,Not Available,N/A
Moon Music,m.u.s.i.c.,"Coldplay filmed a music video with the ""m.u.s.i.c. dancers"" a few days prior to a MOTS tour show at Las Vegas, where the dancers were brought on as guests.",N/A,N/A,Music Video,Rumored,Not Available,N/A
,Videos,,,,,,,
Moon Music,Tutto Passa - A Tribute to Napoli by Coldplay,A tribute to the Italian town of Naples. Features a mix of footage of day-to-day life in Naples and of the Music of the Spheres World Tour. Filmed in June 2023.,,"May 22, 2024",Other,Full,High Quality,YouTube
