Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
HUMANZ,Humanz (Deluxe),,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music114/v4/ad/f6/74/adf6743c-1aa7-c254-a503-b4d343be2d03/190295824822.jpg
HUMANZ,Humanz,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,
HUMANZ,Humanz,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,
HUMANZ,Humanz,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,
HUMANZ,Humanz,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,
HUMANZ,Sleeping Powder,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/a/a1/Humanz2DCover.jpg/revision/latest?cb=20230418001536&format=original
HUMANZ,Sounds of Chicago,,,Digital,,Front Cover,Used,https://i1.sndcdn.com/artworks-000231380171-ne4yk0-original.jpg
HUMANZ,"Lao Ra, Lully & Throwing Shade - Frequency (No Dormir)",,,,,Front Cover,Used,https://gorillazforbeginners.files.wordpress.com/2018/05/frequency-no-dormir.jpg?w=500&h=&zoom=2
HUMANZ,Strobelite,,,Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/c/ce/Strobelite_cover.jpg/revision/latest?cb=20210619183243&format=original
HUMANZ,Strobelite (Radio Edit),,,Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/a/ad/StrobeliteRadioEdit.jpg/revision/latest?cb=20230417234559&format=original
HUMANZ,Humanz Remixed,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://drive.google.com/file/d/1z4mmnXVrFBTfdfKfO9LTYzfYiol7tUh5/view?usp=sharing
HUMANZ,Strobelite (Kaytranada Remix) / Strobelite (Armageddon Turk Remix),Only cover shared between two remixes. Armageddon Turk remix was exclusive to YouTube and SoundCloud.,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/8/80/Strobelite_Kaytranada_%26_Armageddon_Turk.jpg/revision/latest?cb=20230628180527&format=original
HUMANZ,"
Saturnz Barz (Cadenza Remix)",Only cover to not be an edited version of the band member headshots.,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/a/a3/Saturnz_Barz_Cadenza.jpg/revision/latest?cb=20230628180528&format=original
HUMANZ,Busted And Blue (Yotto Remix),,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/a/a6/Busted_And_Blue_Yotto.jpg/revision/latest?cb=20230628180535&format=original
HUMANZ,Andromeda (D.R.A.M. Special),,Jamie Hewlett & Cara Speller,Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/8/88/AnDRAMeda.jpg/revision/latest?cb=20230607014052&format=original
HUMANZ,RIP Swirl & MazeOne - Meadows,,,,,Front Cover,Used,
HUMANZ,"Kram Berev, Kapitány Máté & Ress - Szél",,,,,Front Cover,Used,
HUMANZ,Gorillaz x E.ON - A Solar Collaboration,,,,,Front Cover,Used,
The Now Now,Humility / Lake Zurich,,Jamie Hewlett,Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music115/v4/c8/a2/c0/c8a2c0cc-28e9-c0c6-f425-f6aaf13191f4/190295620660.jpg
,Humility - DJ Koze / Superorganism Remix,,Jamie Hewlett,Digital,,Front Cover,Used,https://static.qobuz.com/images/covers/fb/1e/ohhbuxkwo1efb_org.jpg
