Era,Name,Notes,"File
Date",Leak Date,Full Length,No. Of Tracks,Available Length,Quality,Link(s)
Dangerous,"Homeless Bound
(prod. Brad Buxer & Bryan Loren)
(Homeless)","Mainly consists of homeless people talking about their experiences over a half-industrial/half-jazzy musical bed. Sourced from an April 19th, 1990 DAT, features no vocals, and sonically sounds similar to ""Heal The World."" One user on MJJC who heard it at one of Brad's seminars described it as being ""very experimental and rough."" Allegedly revisited for the HIStory sessions. 

Heavily edited snippet leaked on November 3rd, 2025, with an unaltered CDQ snippet leaking later that day. A snippet that originally leaked on YouTube on August 31st, 2025 resurfaced on November 9th, 2025. Partially leaked in LQ as a seminar recording on January 9th, 2026 by John Cameron via his YouTube channel. More HQ snippets leaked shortly after.
Editor Note: If someone has a opus/webm rip of the August 31st snippet (or better quality than 192kbps), please reach out to us! Some of us are in a couple MJ Discord servers.","Apr 19, 1990","Jan 9, 2026",7:17,,Partial,Recording,"https://pillows.su/f/1c1125bd6e77510e54d38de413855566 
https://pillows.su/f/1e8d4cbbd7358008ae536c83e5486e9b 
https://pillows.su/f/36ee169302be60f7ac2a5e7f89d88bdf  
https://pillows.su/f/5cba3a8c7fbc7b77f192960985a5240c 
https://pillows.su/f/f96b172e4cb4be350d99e8258529a6e2 "
Dangerous,"In The Closet
(prod. Michael Jackson & Teddy Riley)
(Closet)",,,,7:05,,Stem Bounce,CD Quality,https://pillows.su/f/c900bab757b9e978f98fbbb99252659f
Dangerous,"In The Closet
(prod. Michael Jackson & Teddy Riley)
(Closet)","Appears on a Future Records CD-R previously owned by Teddy Riley and auctioned on eBay in late 2007. Earlier version of the track known as ""In The Closet (Instr.)"". Has about 6 seconds of silence before the song starts and 19 seconds of silence after the song ends. Vocal pad missing throughout the song.",,,7:25,,Full,High Quality,https://pillows.su/f/8ff948b9d2d02f1fe92d38de7ef694dc
Dangerous,"Remember The Time (7"" Main Mix)
(prod. Michael Jackson & Teddy Riley)","Appears on a Future Records CD-R previously owned by Teddy Riley and auctioned on eBay in 2008. Leaked via a YouTube upload by Michael Jackson FanSquare on August 24th, 2020. Unmastered.",,"Aug 24, 2020",3:56,,Full,High Quality,https://pillows.su/f/b37d86fb609804d3183f12b90a7d7b65
Dangerous,"Time Marches On
(prod. René Moore & Bruce Swedien)
(Jam)","Completely different production compared to ""Jam"", featuring sampled guitar hits, cowbells + 808 toms, and an atmospheric synth pad. Samples ""Workin' Day and Night"" for the vocal chop. Mix 1, cassette copy owned by Brad Sundberg.

Snippets with voiceover leaked in a video made by Znop for the verb channel on October 23rd, 2025. Mix date posted by Motif on October 13th, 2025. Partially leaked on November 1st, 2025.","Jan 16, 1991","Nov 1, 2025",5:01,,Partial,CD Quality,https://pillows.su/f/029bf59d14d5969baf166017c6bdda8d 
Dangerous,"Bryan Loren - To Satisfy You
(prod. Bryan Loren)
(Satisfy You)","OG Mix Name: INSTRUMENTAL
Sourced from a May 29th, 1991 DAT which was discovered in a storage unit once owned by Loren.","May 29, 1991",,,,Confirmed,Not Available,
Dangerous,"Who Is It
(prod. Michael Jackson & Bill Bottrell)","Longer than the album version. Leaked via a YouTube upload by Michael Jackson FanSquare on August 25th, 2020.",,"Aug 25, 2020",7:34,,Full,High Quality,https://pillows.su/f/5d41f2e8ef29f8a83b840b55141a9ad3
Dangerous,"Will You Be There
(prod. Michael Jackson & Bruce Swedien)
(Save Me)",,,,6:07,,Stem Bounce,CD Quality,
Dangerous,"Will You Be There (Radio Edit)
(prod. Michael Jackson & Bruce Swedien)
(Save Me)",Official instrumental for the radio edit of Will You Be There.,,,3:39,,Full,Lossless,https://pillows.su/f/515a0cf90ed286e66b7848ea85796235
,TV Tracks,,,,,,,,
