Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Final sessions,"""Ron great industrial age song""
(prod. Theron ""Neff-U"" Feemster)","An ""industrial age"" track created for Michael's consideration by Neff-U. A CD was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death.",,,,Confirmed,Not Available,
Final sessions,She Don't Love Me,"Sonically sounds like ""computer-generated video game music,"" similar to how Timbaland's remix of ""Do You Know Where Your Children Are"" was produced.",,2008,,Confirmed,Not Available,
Final sessions,"Silent Spring
(prod. Michael Jackson & Theron ""Neff-U"" Feemster)",Instrumental track; found on a note denoting what songs Michael considered working on before his death. Registered at the Library of Congress.,,,,Confirmed,Not Available,
Final sessions,"Song #4
(prod. Brad Buxer)","A CD dating back to May 16th, 2007 was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death. Was never recorded.",,"May 16, 2007",,Confirmed,Not Available,
Final sessions,"Still The King
(prod. Michael Jackson & will.i.am)",Co-produced by will.i.am; existence confirmed in a 2010 interview.,,,,Confirmed,Not Available,
Final sessions,"The Future
(prod. Michael Jackson & will.i.am)","Co-produced by will.i.am; existence confirmed by will.i.am during a Black Eyed Peas press conference in South Korea on August 13th, 2007.",,,,Confirmed,Not Available,
Final sessions,Throwin' Your Life Away [V3],"A CD was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death. It's unknown whether the song was ever reworked, although it's unlikely, given by the fact that the 2010 Michael album remix uses the 1988 recording as a base.",,,,Rumored,Not Available,
Final sessions,Too Late To Turn Back Now,Found on a note denoting what songs Michael considered working on before his death.,,,,Confirmed,Not Available,
Final sessions,"Wanna Be Startin' Somethin' 2008 [V1]
(ref. Akon) (prod. Akon, Michael Jackson & Giorgio Tuinfort)","Early version of the remix with a rougher instrumental and mix before Michael laid his vocals down, Akon being in his place. Open bridge. ",,,,Confirmed,Not Available,
Final sessions,You Were There,"Unrelated to the Dangerous-era track. Found on a note denoting what songs Michael considered working on before his death. Lyrics contain themes of death and being with god. Handwritten lyric sheets found in Michael's room; it's unclear if he ever recorded this song. Some lines were later reused for ""Best Of Joy"".",,,,Rumored,Not Available,
Final sessions,Unknown [Akon Collaborations],"In an interview for MTV News, Akon revealed that he and Michael have worked on ""ideas, concepts, and harmonies that the world will probably never see."" Reportedly, ""Hold My Hand"" was one of the few tracks that were ""fully complete."" Akon specified later saying that they had done 4 or 5 songs specifically.",,,,Confirmed,Not Available,https://www.theguardian.com/music/2010/nov/22/akon-michael-jackson
Final sessions,Unknown [Dr. Freeze Collaborations],"A few months before Michael's passing, Dr. Freeze met with him in Las Vegas to present him with a few new tracks, ""Is She Coming Back"" likely being one of them. None of these songs were ever recorded by Michael.",,,,Confirmed,Not Available,
Final sessions,Unknown [Ne-Yo Collaborations],Several tracks were created by R&B singer Ne-Yo for Michael's consideration. All of the tracks were played for Michael by Ne-Yo through a phone call in which Michael gave his opinions on the songs and asked Ne-Yo to change stuff about them.,,,,Confirmed,Not Available,
