Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Owl Pharaoh,"God Level [Uncut Version]
[prod. WondaGurl]","OG Filename: XXL TRAVIS - ROUGHMIX NAB
Uncut version; has the same intro as the remastered version, and the instrumental runs for two more minutes after the vocals end, developing into a drop towards the end of the track. Possibly the version that Travis intended to drop. Leaked April 6, 2024.",4:45,,"Apr 6, 2024",Full - HQ,,KrakenFiles
Owl Pharaoh,"Gold 88 [V1]
[prod. THC & Travis Scott]","Unfinished scrap that eventually developed into 'Old English'. Leaked by Fitz on KTT on June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx.",2:48,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"🏆 Gold 88 [V2] 
(feat. Pusha T) 
[prod. THC & Travis Scott]","Later version featuring Pusha T that appeared on the August 2012 tracklist. Apparently owned by Pharaohxx, but he purposefully left it out of the pack he sold, as he anticipated it would leak.",,,,N/A,,
Owl Pharaoh,"Hell of a Night [Demo 1]
[prod. DJ Dahi & Rakhi]","In a now-deleted tweet (that is probably completely lost), Travis stated that he recorded a longer version of the first part of the song, but he wasn't confident that it was good.",,,,N/A,,
Owl Pharaoh,"Hell of a Night [Demo 2]
[prod. DJ Dahi, Rahki, Rey Reel & Travis Scott]","Appears on the May 2013 tracklist. 3:16 long, 2 seconds longer than release.",3:16,,,N/A,,
Owl Pharaoh,"Hero
[prod. Travis Scott]","According to info from L$ and a tweet from Travis in September 2011, this song was to feature on a very early version of 'Owl Pharaoh'. An instrumental supposedly produced by Travis leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman. L$ stated that the song was supposed to sample ""Maniac"" by Kid Cudi; it's not known if a version with the sample exists.",,,,Instrumental - HQ,,KrakenFiles
Owl Pharaoh,"✨ Home 
(feat. Roscoe Dash)
[prod. Travis Scott]","Remake of an old OG Chess song created in November 2011 that featured A$AP Ferg, produced by Travis; Travis was accused of stealing the instrumental by Shane Morris (his old manager) and a KTT member that knew Travis personally, with the possible intention of giving it to Kanye. Said by Travis to be for 'Owl Pharaoh' during his 2013 SXSW set and XXL Freshman interview, and Pharaohxx later implied that it would be on the iTunes deluxe edition, but it never saw a release, most likely due to the possible legal issues surrounding it. The instrumental leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman; the actual track leaked in a four-pack on May 16, 2016, which pissed Travis off.",3:31,,"May 16, 2016",Full - HQ,,"Song (KrakenFiles)

OG Chess x A$AP Ferg Version (Pillowcase)"
Owl Pharaoh,"⭐ iLLemerica
[prod. Travis Scott]
(AKA: iLLamerica)","Leaked by OG Drewbie, an ex-friend of Travis, on March 25, 2013, after KTT users tricked him into thinking they were Travis and annoyed him enough to leak it.",4:54,,"Mar 25, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,"L.O.V.E. Interlude
[prod. Travis Scott]
(AKA: Love)","According to info from L$ and a tweet from Travis in September 2011, this song was to feature some early versions of 'Owl Pharaoh' (likely the song ""Love""). It leaked in 2012 on YouTube seemingly out of the blue, labelled as being track 6 with the original 'Owl Pharaoh' cover art embedded. Samples ""I Got a Woman"" by Ray Charles. Teased in a (now-deleted) video posted to The Classmates' Facebook page in 2011.",1:02,,,Full - HQ,,KrakenFiles
Owl Pharaoh,"Manor
[prod. Lifted]","Appears on the August 2012 tracklist; the instrumental was leaked by Fitz on KTT June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx. No vocals have surfaced, but they likely exist.",,,,Instrumental - HQ,,KrakenFiles
