Era,Name,Notes,File Date,Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
Z,"Warm Winds
(feat. Isaiah Rashad) (prod. Mac Miller)","OG Filename: ERA_SZA_Session_021414
Sessions for ""Warm Winds"".","Feb 14, 2014",,N/A,,Full,Lossless,https://pixeldrain.com/u/uENwVU6s
Z,"Feather Weight [Inst.]
(prod. WondaGurl)","Instrumental for ""Feather Weight"".","Sep 23, 2013",,4:43,138,Full,Lossless,https://pillows.su/f/35b752767ac103b9b06022e97d76c523
Z,"Stay [Inst.]
(prod. Body Language)","OG Filename: Stay [RnB]
Instrumental for ""Stay"".","Feb 11, 2014",,3:08,125,OG File,High Quality,https://pillows.su/f/64ef28d2f48cb8f7800c6a73f809aa04
Z,"Warm Winds [TV Track]
(feat. Isaiah Rashad) (prod. Mac Miller)","OG Filename: SZA_WARM WINDS_TV_NO LEAD w_ ADLIBS
TV Track for the song. Leaked on March 14, 2026.","Mar 13, 2014",,4:12,,OG File,Lossless,"https://pillows.su/f/762767bfebc0a707c542181c0a2b695f
https://pillows.su/f/c7b0fcd93dcc9be6aeedf115ed1ef80f"
Z,"Warm Winds [TV Track]
(feat. Isaiah Rashad) (prod. Mac Miller)","OG Filename: SZA_WARM WINDS_TV_NO LEAD_NO ADLIBS
TV Track for the song. Leaked on March 14, 2026.","Mar 13, 2014",,4:12,,OG File,Lossless,"https://pillows.su/f/9dbe50ec28f5164ff004daa5f5921430
https://pillows.su/f/c54af2a983ce95918605476c44e24a50"
,"A [V1]
(Ctrl)","(04/08/2014) (Z officially releases)
(04/??/2014) (SZA begins progress on A)
(10/??/2016) (A receives a rework as Ctrl)",,,,,"A is a project SZA stated she would drop before her sophomore album sometime in 2019. It is suspected this could be an EP containing throwaways from Ctrl. On 9/6/2018, SZA stated in a quote-retweet that ""A's already done,"" confirming she has another unreleased project as shown in a tweet she made on 8/6/2019 containing a conversation between her and her manager, Punch.",,
A [V1],Breaking Even [Sessions],"OG Filename: Copy of Breaking Even_ADDS
Sessions for ""Breaking Even"".","Dec 14, 2015",,N/A,,Full,Lossless,https://pixeldrain.com/u/hGrviCQj
A [V1],Curtains [Sessions],"OG Filename: SZA TRACKING 6.4.
Sessions for ""Curtains"".","Jun 4, 2015",,N/A,130,Full,Lossless,https://pillows.su/f/2223f1e1f372e39f3b797c30d80a9e6e
A [V1],"Collect [Sessions]
(prod. The Antydote & DJ Dahi)","OG Filename: ERA_SZA TRACKING_09.10.15
Sessions for ""Collect"".","Sep 10, 2015",,N/A,,Full,Lossless,https://pixeldrain.com/u/Nh1NBAiL
A [V1],"Decisions [Sessions]
(prod. Bentley & Jo Blaq)","OG Filename: SZA_ERA_04.07.16
Sessions for ""Decisions"".","Apr 7, 2016",,N/A,,Full,Lossless,https://pixeldrain.com/u/1GyxntE3
A [V1],"Decisions [Sessions]
(prod. Bentley & Jo Blaq)","OG Filename: DECISIONS
Sessions for ""Decisions"".","Apr 11, 2016",,N/A,,Full,Lossless,https://pixeldrain.com/u/GUAjc3mc
