Era,Name,Notes,Designer,Date,Image,Art Type,Use,Link(s)
Slime Season,Slime Season [Cover Art V1],"Official cover art for ""Slime Season"" used with the original release of the tape. Features a greek statue bust, blindfolded with blood dripping from its eyes, sat on a pedastal that lists ""Slime Season"" on the front. The art cuts off short of the bottom because it is not a 1:1 aspect ratio, leaving blank whiter space at the bottom.

Best Available Resolution: 640x640",,,,Cover,Mixtape,
Slime Season,Slime Season [Cover V2],"Updated cover art for ""Slime Season"" that corrects the bottom white space by subtley stretching the entire cover vertically, keeping the head centered but correcting the framing. Also adds Thug's name to the blank side of the pedastal.

Best Available Resolution: ",,,,Cover,Mixtape,https://i1.sndcdn.com/artworks-JjGzOLhXhMLAzw7j-HAicrQ-original.jpg
Slime Season,Slime Season [Cover V3],"Official cover art for ""Slime Season"" used on the updated release of the tape. Similar to the previous version, but the YSL logo is updated and the image is overall a bit sharper. The art is still corrected to reach the bottom of the frame, but the text with Thug's name on the pedastal has been removed.

Best Available Resolution: 591x591",,,,Cover,Mixtape,
Slime Season,Slime Season [Tracklist V1],"Tracklist art for the original release of ""Slime Season"". Includes the livemixtapes.com logo, where the tape launched.

Best Available Resolution: 480x480",,,,Tracklist,Mixtape,
Slime Season,Slime Season [Tracklist V2],"Tracklist art for the updated release of ""Slime Season"". Includes the livemixtapes.com logo, where the tape launched. Adds numbering, features and production credits, as well as the additional tracks to the listing. The background image is the same but faded a bit to make the text more legible.

Best Available Resolution: 1296x1296",,,,Tracklist,Mixtape,
Slime Season,Best Friend,"Art Direction: Be El B (DeShawn Bean) & Fano (Stefano McNutt)
Design: Fano (Stefano McNutt)

Best Available Resolution: 1080x1080",,,,Cover,Single,
Slime Season,Boot Me Up (Can't Trust),Design: ThreeKingsDR,,,,Cover,Single,
Slime Season,"Dripset
(feat. Lil Duke & Yak Gotti)",Design: ThreeKingsDR,,,,Cover,Single,
Slime Season,I Need Chickens,,,,,Cover,Single,
Slime Season,Purpose,Design: ThreeKingsDR,,,,Cover,Single,
Slime Season,That's All,,,,,Cover,Single,
Slime Season,"DeJ Loaf - Shawty
(feat. Young Thug)",,,,,Cover,Feature,
Slime Season,"Jamie xx - I Know There’s Gonna Be (Good Times)
(feat. Young Thug & Popcaan)",,,,,Cover,Feature,
Slime Season,"Jamie xx - I Know There’s Gonna Be (Good Times) [Alternate Cover]
(feat. Young Thug & Popcaan)",,,,,Cover,Feature,
Slime Season,"King Monte Carlo - Colossal
(feat. Young Thug)",,,,,Cover,Feature,
Slime Season,"Rico Richie - We Dem
(feat. Young Thug)",,,,,Cover,Feature,
Slime Season,"T.I. - Peanut Butter Jelly
(feat. Young Thug & Young Dro)",Design: VA Media,,,,Cover,Feature,
Slime Season,"Tinashe - Party Favors
(feat. Young Thug)","Official cover art for Tinashe's single ""Party Favors"".

Best Available Resolution: 1500x1500",,,,Cover,Feature,
Slime Season,"Yo Gotti - Rihanna
(feat. Young Thug)",,,,,Cover,Feature,
Slime Season,"Zonnique - Nun For Free
(feat. Young Thug)",,,,,Cover,Feature,
Metro Thuggin,"Metro Thuggin
(with Metro Boomin)",This is a recreation,,,,Cover,Mixtape,Link Needed
Slime Season 2,Slime Season 2,Official cover art for Slime Season 2.,,,,Cover,Mixtape,https://i1.sndcdn.com/artworks-pWFC5M8TbpNh95HV-9N6xiA-original.jpg
Slime Season 2,Slime Season 2 [Tracklist],,,,,Tracklist,Mixtape,
Slime Season 2,"Keyshia Cole - Don't Waste My Time
(feat. Young Thug)",Design: Colorfoul Money,,,,Cover,Feature,
Slime Season 2,"Shad Da God - Hold My Cup
(feat. Young Thug)",,,,,Cover,Feature,
MigoThuggin,"MigoThuggin
(with Migos)","OG Filename: migos-thuggin-cover-final.jpg

Official cover art for ""MigoThuggin"", used with the brief single release of ""Crime Stoppers"" and reposted by designer Nick Bailey in 2019.

Design: NB GFX (Nick Bailey)

Best Available Resolution: 2048x2048",,,,Cover,Mixtape,
MigoThuggin,"MigoThuggin [Unused Cover]
(with Migos)","First ""MigoThuggin"" cover art, shared on Twitter by Migos October 4, 2015. Designed by NB GFX, who also designed the final cover used when ""Crime Stoppers"" released.

Design: NB GFX (Nick Bailey)

Best Available Resolution: 1080 x 1080",,,,Cover,Mixtape,
,"MigoThuggin [Unused Cover]
(with Migos)","Second unused ""MigoThuggin"" cover art shared on Instagram by Quavo October 17, 2014.

Design: Revign

Best Available Resolution: 533x530",,,,Cover,Mixtape,
MigoThuggin,"MigoThuggin [Unused Cover]
(with Migos)","Third unused ""MigoThuggin"" cover art shared on twitter by Migos October 28, 2014. Appears to be a poorly cropped screenshot since there's a white bar at the bottom and the parental advisory is cut off. However, a random Twitter user reshared the uncropped art so it must have been posted properly somewhere.

Design: Black Coke Design

Best Available Resolution: 640x640",,,,Cover,Mixtape,
MigoThuggin,"MigoThuggin [Unused Cover]
(with Migos)","Fourth unused ""MigoThuggin"" cover art, shared by Migos on Twitter November 4, 2014. The designer for this cover is unodentified, though the logo on the far right may belong to whoever it is.

Best Available Resolution:",,,,Cover,Mixtape,
MigoThuggin,"MigoThuggin [Unused Cover]
(with Migos)","Final unused ""MigoThuggin cover art, shared on Twitter by Migos November 12, 2014. Designed by long-time Thug cover artist Fano, who had just worked with Thug for the first time on the ""Best Friend"" and ""Slime Season 2"" covers.

Design: Fano (Stefano McNutt)

Best Available Resolution: 1079x1079",,,,Cover,Mixtape,
I'm Up,I'm Up,"Official cover art for I'm Up.

Design: Fano (Stefano McNutt)",,,,Cover,Mixtape,https://a1.mzstatic.com/r40/Music115/v4/ca/29/79/ca297996-8ff5-0d22-e952-f8821b61ecb5/dj.rvgznmmh.jpg
I'm Up,I'm Up [Unused Cover],"Original cover art for ""I'm Up"" shared by Fano (Stefano McNutt). He said Thug wanted him to ""take his face off and put him flying above""

Design: Fano (Stefano McNutt)

Best Available Resolution: 1242x1239",,,,Cover,Mixtape,
I'm Up,I'm Up [Tracklist],"Tracklist art for ""I'm Up"". All the actual track names are replaced by ""I'm Up"" listed repeatedly.

Design: Fano (Stefano McNutt)

Best Available Resolution: 998x998",,,,Tracklist,Mixtape,
I'm Up,"F Cancer
(feat. Quavo)","Official cover art for ""F Cancer (Boosie)"".

Design: Fano (Stefano McNutt)

Best Available Resolution: 1024x1023",,,,Cover,Single,https://pillows.su/f/c65bbe9e187f16def5d40d2c14836421
I'm Up,Hercules,"Official cover art for ""Hercules"".

Design: Fano (Stefano McNutt)

Best Available Resolution: 1000x1000",,,,Cover,Single,
I'm Up,No Problem,,,,,Cover,Single,
I'm Up,No Problem [Alternate Cover],"Alternate cover art for ""No Problem"" used on the song's upload to Trauma Tone's page.",,,,Cover,Single,
I'm Up,"B. Smyth - Creep
(feat. Young Thug)",,,,,Cover,Feature,
I'm Up,"Block 125 - Bituation
(feat. Young Thug & MPA Wicced)",,,,,Cover,Feature,
I'm Up,"Lil Uzi Vert - Yea Hoe
(feat. Young Thug)","Official cover art for Lil Uzi Vert's single ""Yea Hoe"".

Best Available Resolution: 4500x4500",,,,Cover,Feature,
I'm Up,Preme - Dipped In Gold,,,,,Cover,Feature,
I'm Up,"TK-N-Cash - Money On Money
(feat. Young Thug)",,,,,Cover,Feature,
I'm Up,"Trae Tha Truth - Slugs
(feat. Young Thug)",,,,,Cover,,
Slime Season 3,Slime Season 3,"Official cover art for ""Slime Season 3"". A photoshop file for the cover that surfaced is 892x887, and the original exported png is 887x882, meaning this is the original and highest native resolution for the art that exists. This is likely why new art was created when the mixtape was released physically in 2025 while the original art for ""Slime Season 2"" was used.

Best Available Resolution: 887x882",,,,Cover,Mixtape,https://a1.mzstatic.com/r40/Music115/v4/f5/b6/cb/f5b6cb03-8f8a-0529-16a6-b8cf3ace5555/dj.vftjpvpa.jpg
Slime Season 3,Slime Season 3 [Alternate Cover],"Alternate cover art for ""Slime Season 3"" that includes logo art in the upper righthand corner.

Best Available Resolution: 892x887",,,,Cover,Mixtape,
Slime Season 3,Slime Season 3 [Original Cover],"Original revealed art for ""Slime Season 3"". Features the same illustration of his head, with some different lighting and his hair colored blonde instead of black. The head is positioned awkwardly, floating with the cutoff of his neck visible and the illustration at ends of his locks appearing to be unfinished.

Best Available Resolution: 1080x1080",,,,Cover,Mixtape,
