Era,Art,Name,Description,Creator,Review,Downloads,Streaming
SWISH,,"SWISH
(Fern's Version)",7 track SWISH comp including the more trap-influenced songs from the era.,FernTheHuman,,"MEGA
Google Drive",
SWISH,,"✨THE OVERGROUND HELL ROAD
(with Kendrick Lamar)",Ye x Kendrick tape circa 2016. Has a mix of the warm sampley vibe on the latter half of TLOP with the jazzy free instrumentation of untitled unmastered.,themusicnerdguy,"Review - lord_eyad_egg
Review - Argonaut",MEGA,"YouTube
Yedits.net"
"1 Renovation
3 Vanilla-style
1 Alt",,"808s & Heartbreak
Live At The Hollywood Bowl",,"Highlights:
⭐808s & Heartbreak: Live At The Hollywood Bowl - SimpleJosh",,,
,Renovations,,,,,,
808s & Heartbreak: Live At The Hollywood Bowl,,808s & Orchestration,"Maximalist take of 808s using and expanding on the Hollywood Bowl orchestra, further clashing against the original 808s' electric aesthetic. Outdated due to being made before the CDQ leak but is still enjoyable.","TakaTyphoon
(a.k.a. takiblue)",,"MEGA
Pillowcase","Yedits.net
[untitled]"
,Vanilla-style,,,,,,
808s & Heartbreak: Live At The Hollywood Bowl,,"⭐808s & Heartbreak
Live At The Hollywood Bowl","SimpleJosh's take on the CDQ Hollywood Bowl 808s material. Uses the stems to seamlessly include QoL changes across the songs, as well as adding the scrapped Caroline Shaw interludes replacing the performance's interludes and the SWISH versions of Wolves and WISI as bonuses.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,
808s & Heartbreak: Live At The Hollywood Bowl,,"808s & Heartbreak
Live At The Hollywood Bowl",Akimbo's CDQ Hollywod Bowl 808s mix. Includes the scrapped Caroline Shaw interludes as well as replacing Pinocchio Story with the edit from his original 808s comp due to it being closer to the performance's version.,Akimbo,,MEGA,
808s & Heartbreak: Live At The Hollywood Bowl,,"808s & Heartbreak
Live At The Hollywood Bowl","Fully mixed version of the Hollywood Bowl peformance of 808s & Heartbreak, containing various small QoL changes and improved mixing along with it.",Akimbo,,MEGA,[untitled]
808s & Heartbreak: Live At The Hollywood Bowl,↳ Alt:,"808s & Heartbreak
At The Hollywood Bowl",Minimal crowd noises remaster of the Hollywood Bowl 808s performance. Uses Akimbo's Hollywood Bowl 808s remaster as a base for the main tracks.,Orpheus,,MEGA,[untitled]
"2 Renovations
4 Extensions
3 HMs",,"The Life Of Pablo
(So Help Me God, SWISH, WAVES)",,"Highlights:
⭐My God Is Awesome - windybro
🌟The Life Of Pablo (Radikal Redux) - Jak Radikal",,,
,Renovations,,,,,,
The Life Of Pablo,,⭐My God Is Awesome,"TLOP rework containing added tracks, production and features all coming together to merge the released sound with material from the SWISH era. Great way to experience the LP7 macro-era as a whole.",windybro,,MEGA,[untitled]
The Life Of Pablo,,Ultralight Beam,"First real attempt at transforming the TLOP era, with an all-new tracklist with LP7 leaks and a select few from released. Has added production on almost all the tracks to create a unique, guitar-influenced hip-hop experience.",JonJeffJonJon,,"MEGA
Google Drive",[untitled]
,Extensions,,,,,,
The Life Of Pablo,,"🌟The Life Of Pablo
(Radikal Redux)",TLOP comp that selects changes made by BlockaShotya and Dorian Ye and combine them with the creator's own personal edits to create the most optimal TLOP experience as possible. Good balance between the 2 projects.,Jak Radical,,MEGA,"Bandcamp
[untitled]"
The Life Of Pablo,,"The Life Of Pablo
(Extended Edition)","Early extended comp that expands on released songs with sample intros/outros, added features and other new instrumental segments. Contains moments such as a Pt. 2 cypher and an extended piano outro on FML.",BlockaShotya,,"MEGA
Google Drive
Pillowcase",
The Life Of Pablo,,The Life Of Paul,"Early TLOP rework from 2017 that provides alternative versions of each released TLOP songs, albeit with only slight changes like restructure of segments or new intros/outros. One of the most popular classic comps.",Dorian Ye,,MEGA,[untitled]
The Life Of Pablo,,Album Of The Life,"Collection of TLOP songs, non-album singles and LP7 leaks with minimal changes and extensions to create a complete picture of the time period.",Matsu,,"MEGA
Google Drive",
,Honorable Mentions,,,,,,
