Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
JACKBOYS 2,JACKBOYS 2 [Alt #2],"Alternate cover posted by Travis Scott on his instagram with the caption ""We Shall Eat Soon"" on June 30, 2025 along with a teaser and a seperate alt cover.",,Digital,,Front Cover,Alternate,/dongold/art/jackboys-2-alt-2.png
JACKBOYS 2,FWU,Cover used for the single FWU that dropped on ,,Digital,,Front Cover,Used,/dongold/art/fwu.png
OCTANE,LV Bag,"First previewed by Pharrell on January 21, 2025 during the Louis Vuitton Fall-Winter set held in Paris, France. Released on February 21st, 2025 featuring J-Hope, Pharell Williams, and his LV Bag named Speedy😭.",,Digital,,Front Cover,Used,/dongold/art/lv-bag.png
OCTANE,LV Bag [Alt Cover],The first official cover for the single LV Bag teased by Don.,,Digital,,Front Cover,Unused,/dongold/art/lv-bag-alt-cover.png
OCTANE,LV Bag [Promo],"Official Promo art used on Don and Phrarell's socials, and the presave link for the single.",,Digital,,Promo Art,Used,/dongold/art/lv-bag-promo.png
OCTANE,LV Bag [CD],The official photo for the CD release for LV Bag on Don Toliver's website,,Scan,,Physical Packaging,Used,/dongold/art/lv-bag-cd.png
OCTANE,LV Bag [CD],The official photo for the CD release for LV Bag on Don Toliver's website,,Scan,,Back Cover,Used,/dongold/art/lv-bag-cd.png
OCTANE,Field Trip (feat. Don Toliver),"Originally meant for Don Toliver, then given to Lil Uzi Vert, was given to Kanye for his album Vultures 2 with the song Field Trip featuring Don Toliver.",Unknown,Digital,,Front Cover,Used,/dongold/art/field-trip-feat-don-toliver.png
OCTANE,lOvE LeTtEr (feat. Don Toliver),Cover art for the single lOvE LeTtEr by TisaKorean featuring Don Toliver.,Unknown,Digital,,Front Cover,Used,/dongold/art/love-letter-feat-don-toliver.png
OCTANE,Confused (feat. Don Toliver),Cover art for the single Confused by Hunxho featuring Don Toliver.,Unknown,Digital,,Front Cover,Used,/dongold/art/confused-feat-don-toliver.png
OCTANE,Hide It (feat. Don Toliver),Cover art for the single Hide It by Wiz Khalifa featuring Don Toliver.,Unknown,Digital,,Front Cover,Used,/dongold/art/hide-it-feat-don-toliver.png
OCTANE,Lose My Mind (feat. Doja Cat),"The cover for F1 The Album with track 1 ""Lose My Mind"" featuring Don Toliver and Doja Cat.",,Digital,,Front Cover,Used,/dongold/art/lose-my-mind-feat-doja-cat.png
OCTANE,Flames Of Fortune (with Ludwig Göransson),The cover for the official Sinners soundtrack with Don Toliver featuring on Track 2 with Ludwig Göransson.,,Digital,,Front Cover,Used,/dongold/art/flames-of-fortune-with-ludwig-g-ransson.png
