Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,,Multiple Eras,x10 Blind Pack,"- Main Songs (Blind) -
Skrt
Turn Down
x8 More Tracks

- Bonuses - 
???

Announced that another buy for 10 total songs would be ran, likely just some more unheards. Buy is blind tho so who knows
Cancelled for other songs to get ran","$5,000","May 15, 2025",-,Blind,Cancelled,N/A
2025,,Luv Is Rage 2 [V2],"Two Bags
(prod. DY Krazy)","- Main Song (Blind) -
Two Bags

Ran by @bueberries after the Horize leaks stopped so they could actually get a seller to sell something without it leaking.",$750,"May 14, 2025","May 15, 2025",Blind,Completed,N/A
2025,,Delta Pink Tape [V1],"What You On
(prod. Maaly Raw)","- Main Song (Blind) -
What You On
Thank You Ma'am (Clams)
Clams forceleaked, song swapped out for another 2022

- Bonuses -
Better on my Own

Announced first to goats & donors by @bueberries, later put up for full groupbuy.","$1,000","May 14, 2025","May 14, 2025",Blind,Completed,N/A
2025,,Delta Pink Tape [V1],"Travis Scott - Picture Me
(feat. Lil Uzi Vert) (prod. ???)","- Main Song -
Travis Scott - Picture Me (feat. Lil Uzi Vert)

- Bonuses - 
Hellcat (At $1,255 Raised)

Randomly opened a bit after Heathens finished after being offered days prior.","$1,255","May 11, 2025","May 12, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"🥉 Left Before
(prod. Brandon Finessin, ​demarcxx & Only1Shredder)
(Heathens, Fajita)","- Main Song -
Left Before (Heathens)
Brick Wall

After people hating on Brick Wall like crazy, it was decided that the song would be swapped out for Heathens and be continued off with the same funds.","$1,250","May 10, 2025","May 11, 2025",Normal,Completed,N/A
2025,,Pink Tape [V3],"Brick Wall
(prod. Brandon Finessin)
(I'm Smashing, Brickwall)","- Main Song -
Brick Wall (I'm Smashing)

After a tagged CDQ snippet of the song was previewed, @okayverycool announced that this song would be ran next. Cancelled due to the hate","$1,100","May 9, 2025",-,Normal,Cancelled,N/A
2025,,Lil Uzi Vert vs. The World 2 [V1],"🥉 Which Way
(prod. Oogie Mane)","- Main Song -
Which Way

- Bonuses - 
Losing It (So Fake) (At $1,600 Raised)

Announced that Which Way will be ran after finding a good price with Losing It alongside it.","$1,600","May 9, 2025","May 9, 2025",Normal,Completed,N/A
2025,,Delta Pink Tape [V1],"Double G
(prod. Maaly Raw & Akachi)
(Truly)","- Main Song -
Double G (Truly)

@okayverycool announced this buy, pretty normal buy. Forceleaked by Horize or someone who bought off him the same day after opening.","$1,000","May 7, 2025",-,Normal,Force Leaked,N/A
2025,,Lil Uzi Vert vs. The World 2 [V1],"🥉 Losing It*
(prod. Bugz Ronin)
(So Fake)","- Main Song -
So Fake (Losing It)

Opened by @minehq, song is being ran solo for a cheap price. Upon the file being given to the council, it was found that the song only had around 59 seconds of vocals which wasn't received very well so funds were moved to Which Way GB.",$900,"May 6, 2025","May 7, 2025",Normal,Cancelled,N/A
2025,,Pink Tape [V3],"🥉 Doors
(prod. Brandon Finessin, Only1Shredder, Astrid & bangwhippar)
(Two Plus Two, 2+2)","- Main Song -
Doors (2+2)

- Bonuses - 
Bang Bang (2020) (At $1,500 Raised)
Dover Street Market CDQ snippet (At $2,000 Raised)

@okayverycool announced after returning to Uzi com that he is going to run Doors alongside a free bonus song around halfway through. Song was put out on May 6th due to delay with funds.","$2,500","May 3, 2025","May 5, 2025",Normal,Completed,N/A
2025,,Multiple Eras,x3 Random Pack,"- Main Songs (Blind) -
More Money (No Life) (2024)
My Slime (Tap Tap) (2022)
Guapo - Stress Me (feat. Lil Uzi Vert) (2022)

Announced by @bueberries and he is going to be running these 3 song options all together for $3k total. The ""Blind Grail Song"" turned out to be Tap Tap and it was force leaked on May 2nd.","$3,000","May 1, 2025","May 2, 2025",Blind,Completed,N/A
2025,,Eternal Atake [V1],"🏆 Friends
(prod. Ike Beats & Jahdiddat)
(16 Zone)","- Main Song -
Friends (16 Zone)

- Bonuses -
Been Up (Session) (At $3,500 Raised)


After a snippet of this holy grail and it's sessions surfaced, it was announced the song had been finally found and it would be put up for groupbuy.","$7,000","Apr 30, 2025","May 1, 2025",Normal,Completed,N/A
Unknown,,Pink Tape [V3],"🏆 Deep Voice 2023 Bari Vlog Grail
(prod. ???)","- Main Song -
Deep Voice 2023 Bari Vlog Grail

Rumored to be ran after Lambo was finished, but was scrapped likely due to people not even having the songs or because Jack was kicked out of com.",-,-,-,Blind,Cancelled,N/A
