Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Untitled*,⭐ My Hoodie,"OG Filename: 01 MyHoodie
Four of six snippets leaked by waterfalls on October 16th, 2021. Has small open verses. Private bought for $1300 or taken off the market. Finished other than a small open section on Donald's verse. Leaked as a bonus for a groupbuy on 3/21/23.",3:21,,"Mar 21, 2024",OG File,CD Quality,https://pillows.su/f/d8cf476ae2b74b797d5a5c012f127083
Atavista [V2],"Little Big Foot [V4]
(feat. Young Nudy) (prod. Donald Glover, James Francies, Ely Rise, Sam Sugarman & DJ Dahi)
(Little Foot Big Foot, Move This Way, 35.31)","Registered on March 21st, 2024.",~3:30,,"Mar 21, 2024",Confirmed,Not Available,
Untitled*,⭐ Song For You,"OG Filename: 01 SongForYou_061318
Five of six snippets leaked by waterfalls on October 16th, 2021. Exported on 06/13/18, same day as Hell Or High Water. Forceleaked by Waterfalls on 03/16/23. Has Chance the Rapper jumpscare.",2:19,"Jun 13, 2018","Mar 16, 2024",OG File,CD Quality,https://pillows.su/f/f742474763cfbdf3da1134c20e9f7a5d
Atavista [V2],Atavista [V5],"Version of ""Atavista"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
Atavista [V2],"Algorhythm [V8]
(Algorythm)","Version of ""Algorythm"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
Atavista [V2],"Psilocybae (Millenial Love) [V3]
(feat. 21 Savage, Ink, & Kadija Bonet)
(Millennial Love, 12.38)","Version of ""Millennial Love"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
Atavista [V2],"Sweet Thang [V3]
(feat. Summer Walker)
(24.19)","Version of ""Sweet Thang"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
Atavista [V2],"Little Foot Big Foot [V3]
(feat. Young Nudy) (prod. Donald Glover, James Francies, Ely Rise, Sam Sugarman & DJ Dahi)
(Move This Way, 35.31)","Version of ""Move This Way"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
Atavista [V2],"Human Sacrifice [V11]
(39.28, Human Sacrifice, Human Dillemma, Why Go To The Party)","Version of ""Human Sacrifice"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
Atavista [V2],"Final Church [V2]
(53.49)","Version of ""Final Church"" posted on Donald's instagram story in his Apple Music local files.",,,"Mar 15, 2024",Confirmed,Not Available,
